movie_id,keyword_id
75621,5905
14666,13032
14666,15138
14666,157799
14666,170827
14666,172471
14666,215193
506,549
506,570
506,276
506,739
506,447
506,3713
506,2039
506,1443
506,2284
506,1252
506,930
506,1936
506,643
506,2699
506,2251
506,2316
506,2547
506,2548
506,2672
506,2673
506,2675
506,2676
506,2749
506,2799
506,2800
506,2801
506,2843
506,13001
93240,190370
32195,833
32195,248
32195,8570
32195,18425
32195,41249
32195,165137
32195,178845
32195,264326
2411,596
2411,725
2411,90
8425,90
8425,970
8425,7679
8425,190324
8425,217324
8425,246136
12268,6149
12268,10318
13428,966
13428,9730
13428,6440
13428,8132
9548,578
9548,2570
9548,837
9548,5540
9548,9826
9548,155790
86962,818
86962,10292
86962,9714
86962,233843
86962,285961
67742,1353
67742,13006
67742,160517
67742,163053
67742,178649
67742,254053
67742,276164
67742,281741
67296,164664
67296,178107
67296,215568
67296,232700
28256,155790
2189,5398
2189,9823
2189,10260
2189,14725
2189,156928
17917,212
17917,818
17917,3430
17917,6783
17917,4344
17917,10181
17917,8250
17917,13014
17917,15162
17917,207928
76489,179431
21013,1612
21013,801
21013,4627
21013,4380
21013,9675
21013,11860
21013,14541
21013,158192
91342,7376
91342,1524
91342,966
91342,2343
91342,5938
91342,10542
91342,11322
91342,195269
91342,204905
91342,269484
91342,278823
74312,187056
59058,2032
59058,11935
59058,12987
59058,188326
26465,898
26465,4562
26465,5565
61197,360877
36325,3009
36325,3136
36325,5097
36325,6342
36325,15178
36325,15222
36325,18378
36325,33573
36325,156334
36325,156338
36325,178107
36325,247672
8460,2132
8460,1909
8460,3156
8460,10326
8460,6981
8460,9663
8460,10825
8460,156179
8460,156180
8460,156181
8460,156182
88112,155477
98134,378
98134,10685
98134,5424
98134,12425
98134,188512
87799,4344
42336,156863
16846,3762
16846,6553
16846,9826
31591,708
31591,1502
31591,1797
31591,5900
31591,10085
31591,192035
31591,207928
27566,3030
27566,2858
27566,4720
27566,10292
27566,10541
27566,13125
27566,14895
27566,18087
27566,162521
27566,189921
27566,196779
11327,378
11327,822
11327,3391
11327,10685
11327,6148
11327,1228
11327,5034
11327,5733
11327,9672
11327,9774
11327,10909
11327,13006
11327,14551
11327,14707
11327,15278
11327,33451
11327,195897
11327,206584
11327,226431
11327,245525
11327,251667
11327,266753
11327,314730
11327,325839
3122,1299
3122,3182
3122,3098
3122,3262
3122,10125
3122,10124
3122,10714
3122,14760
3122,171247
3122,226430
3122,235261
3122,240303
3122,258464
21766,10084
21766,596
21766,793
21766,3030
21766,970
21766,3434
21766,10683
21766,9856
21766,10216
21766,33720
21766,34079
21766,156580
21766,179359
21766,220510
33945,219430
91219,570
91219,10685
91219,1003
91219,1562
91219,11534
91219,11872
91219,14805
91219,15381
91219,33740
26423,158718
26423,238059
26423,258533
99387,1326
36721,1715
36721,2800
36721,2833
36721,2035
36721,3363
36721,4280
36721,8264
36721,3721
36721,11210
36721,10706
36721,10323
36721,11268
36721,4792
36721,157154
80985,11606
80985,190042
16653,6038
16653,9457
16653,11687
16653,10807
16653,269429
16653,269522
4489,3012
55754,6092
55754,11109
55754,11400
55754,158372
55754,162365
55754,163080
55754,173458
55754,196009
55754,198590
18032,818
18032,10541
18032,10809
18032,13014
18032,165913
18032,234213
18032,279877
18032,336394
18032,336395
14617,596
14617,13028
14617,231641
14617,354956
55871,1956
55871,3888
55871,7347
55871,10787
55871,18034
55871,236458
9799,542
9799,1568
9799,830
9799,8574
9799,9666
9799,12670
9799,178895
9799,179430
9799,179431
9799,239275
9799,286354
9799,311998
9799,324429
9799,325804
9799,325811
34533,331
34533,6157
34533,12193
19151,1862
19151,3230
19151,5167
19151,10194
19151,10195
19151,10196
19151,10211
19151,41334
19151,158718
19151,163178
19151,239239
19151,258533
32901,187056
64725,156081
64725,215849
5855,4344
5855,7116
5855,10229
90120,6614
90120,12190
90120,249629
67885,6075
67885,1523
67885,5561
67885,4926
67885,6562
67885,12969
67885,161570
67885,161581
67885,187056
39341,6669
39341,12564
28951,3363
28951,12377
50774,3205
50774,15101
32513,4932
32513,818
32513,13014
32513,214548
32513,244113
32513,305164
45136,1499
45136,3065
45136,235395
91921,282
91921,271
91921,155866
91921,155869
15470,187056
32823,212
32823,6029
32823,4048
32823,12670
32823,179430
32823,276775
75126,4344
53392,12999
53392,154802
96901,2673
21867,7537
21867,159845
21867,208244
21867,220649
93699,1890
93699,4663
93699,18239
93699,163053
83088,6211
83088,2035
83088,2036
83088,13141
83088,170801
83088,207826
83088,210024
34672,2526
34672,15162
34672,208152
34672,236343
19144,6075
42411,207268
34527,818
34527,6149
34527,1849
83796,6078
83796,164400
43862,2199
43862,931
43862,190894
52700,1019
52700,2673
80626,190370
11342,616
11342,2343
11342,1227
11342,4379
11342,4995
11342,10541
11342,157667
11342,177894
79468,470
97822,1459
97822,2587
97822,1918
97822,6096
97822,3455
97822,9799
97822,6118
97822,11061
97822,13097
97822,14783
97822,41379
97822,156257
97822,156578
97822,171848
97822,172466
97822,186919
97822,188028
97822,207389
97822,208638
97822,238559
97822,240303
97822,285384
97822,293665
97822,345073
97822,354590
97822,354591
97822,354592
1586,596
1586,931
1586,3030
1586,6149
1586,1533
1586,567
1586,2872
1586,787
1586,703
1586,2340
1586,2669
1586,3344
1586,5585
1586,9826
1586,11363
1586,13028
1586,15160
1586,262826
1586,325783
1586,325802
38714,818
38714,4480
38714,1599
38714,11061
38714,163047
38714,163221
38714,164224
38714,167198
38714,216781
38714,258113
38714,362063
57592,18257
32546,160963
32546,172971
12406,233
12406,4342
12406,4923
12406,13028
11224,7376
11224,818
11224,697
11224,2161
11224,2283
11224,2710
11224,6513
11224,3071
11224,3289
11224,4344
11224,5152
11224,9673
11224,13014
11224,18035
11224,166726
11224,173003
11224,196691
11224,208705
11224,272784
11224,324713
9629,378
9629,2987
9629,10322
9629,192945
25050,2200
25050,10235
25050,9928
25050,18187
25050,182657
25050,212795
25050,226774
25050,240119
25050,240237
25050,241737
25050,304608
67660,818
67660,5893
67660,5999
67660,9673
67660,13043
67660,14534
67660,14647
67660,155939
67660,179431
67660,182293
67660,182295
67660,198673
67660,283006
67660,289277
67660,313436
56153,1326
56153,629
56153,3182
56153,8901
56153,10391
56153,187056
56153,189435
42774,2337
42774,1930
42774,10714
1862,1605
1862,220
1862,10685
1862,4372
1862,3452
80816,9951
80816,9738
80816,12553
80816,197194
80816,206212
80816,223550
13635,585
13635,254
13635,818
13635,1930
13635,3149
13635,9672
13635,6719
13635,9777
13635,9826
13635,10950
13635,15363
13635,162380
13635,208992
13635,213473
72483,1009
72483,6017
72483,208591
72483,208873
10691,725
10691,931
10691,2038
10691,970
10691,3691
10691,5091
10691,9986
10691,10791
10691,14534
10691,156455
32047,242
32047,417
32047,6149
32047,1228
32047,2980
32047,11734
32047,33518
32047,155799
47463,325794
51593,207317
38428,7926
38428,5565
38428,10614
58665,6895
78550,5901
51582,2679
51582,7464
51582,158086
50580,33922
6416,6054
6416,1157
6416,65
6416,7307
6416,4516
6416,7637
6416,9823
6416,160246
71725,128
71725,291
71725,5721
71725,9673
71725,15111
71725,181118
71725,189414
71725,189415
71725,189416
71725,195337
13043,1605
13043,11933
13043,13088
13043,160246
4541,220
4541,818
4541,703
4541,5339
4541,9714
4541,9727
4541,15101
4541,18044
4541,208349
19463,3098
19463,6344
4286,236
4286,1755
4286,1664
4286,155697
4286,183886
4286,205850
34536,11717
27172,378
27172,9777
27172,15009
27172,33808
6473,1589
6473,779
6473,720
6473,3289
6473,3562
6473,10141
6473,10950
6473,13015
6473,13065
6473,14946
6473,15218
6473,15248
6473,18543
6473,158778
6473,162014
6473,219404
39919,458
39919,6158
39919,155477
74596,212
74596,8207
74596,159608
74596,220063
47206,180413
47206,209050
47206,214548
47206,242689
21832,9887
21832,10046
21832,10891
21832,11272
21832,12197
21832,194008
21832,210024
21832,212737
21832,239797
21832,269769
76482,1563
76482,259
76482,2428
76482,3692
76482,10093
76482,14895
76482,33841
50004,5509
50004,5882
50004,14522
50004,206032
50004,207751
50004,211362
50004,231020
50004,252639
29917,1419
29917,483
29917,2834
29917,5369
29917,3301
29917,4666
29917,2866
29917,5981
29917,8126
29917,11268
29917,14673
29917,15271
29917,41180
29917,41644
29917,44494
29917,50009
29917,163545
29917,164478
29917,185959
29917,188950
29917,188973
29917,201243
29917,279744
29917,302245
29917,326485
81746,536
81746,164039
81746,258533
206,439
206,90
206,436
206,440
206,10787
206,161207
53289,187056
28522,9675
28522,12377
28522,188957
21596,10352
21596,10353
21596,163053
21596,272745
83235,3537
83235,185863
83235,197919
73119,3799
73119,167861
16305,960
16305,886
16305,3864
16305,10325
16305,5571
16305,9890
16305,10717
16305,11469
16305,12999
16305,15291
16305,155457
16305,155809
16305,167043
16305,186189
16305,203826
16305,235736
16305,256087
25290,966
25290,818
25290,738
25290,1422
25290,1670
25290,1667
25290,2887
25290,3182
25290,6779
25290,8080
25290,10688
25290,10809
25290,11869
25290,13088
25290,14669
25290,14714
25290,33494
25290,33781
25290,202666
25290,208289
25290,211677
25290,228533
25290,237460
25290,240315
25290,244229
25290,263308
25290,266503
25290,274652
25290,315362
25290,323419
25290,326200
25290,329390
25290,336330
50687,242
50687,6149
50687,9663
50687,10714
50687,12339
85166,10058
85166,12339
33793,6029
33793,578
33793,953
33793,2570
33793,4344
33793,4434
33793,8900
33793,18001
33793,18002
33793,211514
41132,6083
41132,5565
41132,187056
10184,6054
10184,818
10184,2587
10184,5625
10184,14534
10184,34094
10184,179431
10184,196958
10184,234660
10184,249237
10184,314349
82442,1817
82442,2426
82442,155535
20762,3070
20762,10726
20762,251961
64623,5484
64623,162846
64623,177201
20903,6029
45485,6054
45485,1228
45485,5565
45485,6964
45485,10163
45485,33490
45485,34118
45485,263548
3524,2652
57958,1842
57958,5483
57958,6847
57958,184483
25512,740
25512,164698
25512,313483
43008,13005
43008,15009
43008,33407
27371,10125
27371,10150
27371,11161
52741,240
52741,6075
52741,5605
52741,13088
52741,33861
52741,214778
6202,6304
6202,6780
72040,155139
29697,10637
29697,253695
50270,549
50270,818
50270,1430
50270,588
50270,131
50270,1411
50270,1667
50270,6038
50270,13008
50270,13059
50270,14632
50270,155477
50270,190370
49399,13068
49399,160364
49399,165193
49399,281947
49399,282428
49399,284794
57806,1975
57806,9840
56108,263548
61299,6269
61299,8696
61299,11531
61299,238355
98404,3799
98404,180178
98404,195691
98404,221700
82245,10235
82245,9826
29549,190370
74621,10046
74621,211713
74621,257883
74621,292730
22164,779
22164,1721
22164,12380
22164,187910
22164,187928
22164,281585
22164,325769
22164,325770
22164,325786
