movie_id,company_id
88737,9266
88737,157110
57869,5542
93712,8520
84394,60804
84394,76710
84394,76711
84394,76712
63754,15548
46681,12186
46681,60
91653,14599
5728,1964
5728,162
14666,7617
68001,6790
506,10715
506,33
31193,5919
31193,5920
93240,5979
32195,670
8425,10522
12268,23534
12268,60
13428,31317
13428,2751
58056,8356
9548,1885
9548,25
86962,13282
86962,1799
86962,869
86962,5
68117,2488
68117,13427
23273,49589
23411,92629
23411,11570
67742,3097
67742,23921
94555,112456
94555,123445
94555,3491
67296,134797
67296,491
67296,74939
70567,14914
28256,174
2189,1009
2189,1010
17917,1807
17917,3632
76489,8890
76489,25
76489,1156
76489,91002
76489,444
21013,18230
21013,22195
21013,22196
21013,22197
21013,2999
21013,10175
21013,12477
21013,327
91342,6220
91342,102897
74312,13869
59058,983
50594,96085
61197,3052
78755,27230
36325,4211
36325,10735
36325,4748
8460,6384
8460,333
8460,506
69048,268021
88112,77499
88112,74999
88112,75000
98134,2166
98134,176162
87799,344
16846,15352
16846,4867
31591,14160
31591,4
78447,14263
27566,22658
27566,1444
11327,5
11327,15058
3122,5712
3122,1950
21766,5369
21766,4007
21766,310
33945,4294
91219,118781
26423,4509
99387,37760
80985,4867
16653,4003
16653,138734
4489,4606
55754,85763
71625,7564
18032,5309
18032,16016
18032,654
18032,1071
18032,2452
18032,417
18032,342
18032,199207
18032,174
14617,3431
55871,4213
9799,26281
9799,33
9799,333
9799,26282
34533,1311
19151,199870
64725,1787
64725,10523
64725,10680
5855,12782
81938,13930
46857,18405
46857,6153
90120,1369
90120,16822
26676,4554
67885,42136
67885,84412
67885,14914
39341,107025
39341,172699
39341,21957
39341,172700
50774,1931
61435,798
32513,5846
32513,288
32513,3324
32513,101023
45136,23624
45136,25
62574,42084
91921,72317
28183,4702
36727,356
25028,68915
25028,232960
32823,10105
32823,33
32823,7295
32823,158
75126,18936
53392,4148
59302,3324
96901,34800
96901,14590
96901,417
21867,15125
21867,4
83088,5542
71102,4708
17995,10958
34672,8934
34672,37892
34672,15709
34672,296074
42411,1533
42411,21649
42411,38591
42411,14016
42411,851
