movie_id,title,original_title,overview,release_date,runtime,original_language,status,imdb_id,popularity,vote_average,vote_count,adult_flag,video_flag,poster_path,backdrop_path,homepage,tagline,budget,revenue,collection_id,collection_name
31439,To Live,活着,Married couple Fugui and Jiazhen endure tumultuous events in mid-20th century mainland China as their personal fortunes move from wealthy landownership to peasantry.,1994-05-18,133,zh,Released,tt0110081,8.4136,8.067,375,False,False,/bv0qREWTw8TPAtgt22ELp1UlKVl.jpg,/s7xVB5OPWw6GO40VBeEJcX9EwNt.jpg,,,0,0,,
30783,Test Tube Teens from the Year 2000,Test Tube Teens from the Year 2000,"In the future, corporations have taken over the world and banned sex. A group of rebellious high school students devise a way to go back in time to the present day and try change history to prevent that from happening.",1994-07-27,80,en,Released,tt0111402,1.2742,4.19,21,False,False,/lm7N8jrhE2yFozgNApzp8Ys0Oi0.jpg,/3AzlztUOCUrW1TdFvP7ZBHI7zE2.jpg,,Science was never this hard...,300000,0,710303,Virgin Hunters Collection
53519,High and Dizzy,High and Dizzy,"A tipsy doctor encounters his patient sleepwalking on a building ledge, high above the street.",1920-07-11,26,en,Released,tt0011293,0.7306,6.653,36,False,False,/5Ni4l2CpcoKAKd27Z6eZkenac7y.jpg,/15oZzSvDeqthpjpOO65xEP6P2CQ.jpg,,,0,0,,
59067,Bunker Paradise,Bunker Paradise,"Friendly and broke, Mimmo dreams of being rich and famous, but for now he's a taxi driver. One evening, he meets John Deveau, a wealthy and perverse man, and his gang, who draw him into a world of luxurious parties among the wealthy. Charmed and believing he has made it, Mimmo thinks that this world wants him. In reality, he falls into the perverse trap set by John and his gang for their own amusement.",2006-03-22,107,fr,Released,tt0464793,0.9226,5.167,9,False,False,/uWoV0gnIyqL1vcmO2XUhBZSxzMJ.jpg,/fBomi0VrRTI5OmOy9M14N6vtlea.jpg,,,0,0,,
60314,Bellator 1,Bellator 1,"Bellator I was a mixed martial arts event by Bellator Fighting Championships. The event took place on Friday, April 3, 2009 at the Seminole Hard Rock Hotel &amp; Casino in Hollywood, Florida. It was broadcast nationally in the U.S. via tape-delay the following night on Saturday, April 4, 2009 through an exclusive television agreement with ESPN Deportes. The event featured quarter-final tournament bouts of the 2009 Featherweight (145 lbs) and Lightweight (155 lbs) Tournaments, along with a number of non-tournament bouts to be held in the organization's other weight divisions. All bouts were contested under the Unified Rules of Mixed Martial Arts.",2009-04-02,,en,Released,,0.0592,,,False,True,,,,,0,0,,
97035,A Tale of the Wind,Une histoire de vent,"It is an autobiographical fiction starring Ivens as an old man who has spent his life trying to ""tame the wind and harness the sea"" by capturing them on film.",1989-03-19,80,fr,Released,tt0096337,0.4774,6.412,34,False,False,/qASzOVtIGk2VDG0I4mTbKXDJXmV.jpg,/sVnCg03eTCQIN2aSblm8oinbakG.jpg,,,0,0,,
46911,Golden Slumber,ゴールデンスランバー,"When easy-going Aoyagi meets an old friend for a fishing trip, he ends up drugged, framed for the Prime Minister's assassination, and on the run from corrupt cops. It's only the beginning of what quickly becomes the worst, weirdest day of his life. But he'll get by with a little help from his friends, who include a famous pop diva, a rockabilly deliveryman, a crippled old gangster, and the world's most cheerful serial killer.",2010-01-30,139,ja,Released,tt1413529,1.9397,7.1,53,False,False,/4I38BO1TnwiJhzPrJReDKa9cxCH.jpg,/nYhGyscoZNzDzZ84GMbR5EMEiER.jpg,,Suspicious eyes everywhere the world is chasing after him.,0,0,,
49462,Career Girls,Career Girls,"A young college student in London moves into a flat and becomes best friends with a flatmate; the former moves into her own flat 4 years later but 6 years after their parting, the former returns to London to pay the latter a visit.",1997-06-01,87,en,Released,tt0118818,1.3856,6.6,90,False,False,/bV6ezK5Qcqv9ul9B6yGiKcfA0pG.jpg,/bY6KE2RjsesYoQbAG602jyCLjDB.jpg,https://www.film4productions.com/productions/1997/career-girls,All Hannah wanted was a roommate... instead she got a best friend.,0,0,,
71352,Residence Permit,Вид на жительство,"A young talented doctor Rostislav Saveliev, who believes that he is not valued enough in his homeland, taking advantage of a tourist trip, stays in one of the European countries. But failing to find a job in his specialty, he is forced to agree to a proposal from the school of saboteurs...",1972-10-09,89,ru,Released,tt0332814,0.4008,7.0,1,False,False,/bbuJ2pA9Np3oFkqPOCskW2mK3V3.jpg,/dGIikHthaHb5Z2kD5MUIdEFsMnw.jpg,,,0,0,,
28994,The Adventures of the Wilderness Family,The Adventures of the Wilderness Family,The story of a modern family bored with the hassles of the city life in Los Angeles. They head for the wilderness never to return.,1975-12-19,105,en,Released,tt0072610,1.1202,5.972,36,False,False,/1t5JbM4gxjWyAaq884rbNEqKcRr.jpg,/bvNlOYVlSu0DvqIhjIKSejBqrsM.jpg,,,0,0,211860,Mountain Family Robinson Collection
