person_id,name,original_name,gender,known_for_department,profile_path,popularity
1046463,Dennis Fitzgerald,Dennis Fitzgerald,2,Acting,/zL8Bh0plys2Dpe13oTlKbedORQO.jpg,0.1954
1476065,Monty Stuart,Monty Stuart,2,Acting,,0.1404
2520570,Charity Thomson,Charity Thomson,1,Directing,,0.2574
3360894,Athena Pesante,Athena Pesante,0,Directing,,0.0802
2057546,Matt Fitzsimons,Matt Fitzsimons,2,Production,,0.1939
1945489,Amanda Vinopal,Amanda Vinopal,1,Costume & Make-Up,,1.9319
2465314,Mayumi Masaoka,Mayumi Masaoka,0,Costume & Make-Up,,0.1149
1794039,Anne Rocchio,Anne Rocchio,1,Costume & Make-Up,/chF8isQxpcwIz7F6CxKbcbwMXbu.jpg,0.0261
3543772,Josetta Kovitch,Josetta Kovitch,0,Costume & Make-Up,,0.0168
1964330,Zac Heath,Zac Heath,0,Production,,0.0536
3543773,Cynthia Miranda,Cynthia Miranda,0,Costume & Make-Up,,
3543775,Brooke Weller,Brooke Weller,0,Costume & Make-Up,,0.0071
1340735,Staci Witt,Staci Witt,1,Costume & Make-Up,,0.0947
1863862,Amber Marie Kypragoras,Amber Marie Kypragoras,0,Costume & Make-Up,,0.051
1863863,Jessica Lindholm,Jessica Lindholm,0,Costume & Make-Up,,0.0168
1863861,Crystal M. Cook,Crystal M. Cook,0,Costume & Make-Up,,
2787099,Stacy Halax,Stacy Halax,0,Costume & Make-Up,,0.0286
3520155,Arlene Silver,Arlene Silver,0,Costume & Make-Up,,0.0398
1399137,Marshall Rao,Marshall Rao,2,Lighting,,0.0357
2972265,Dawn Nakamura,Dawn Nakamura,1,Camera,,0.0495
2315989,Gavin Alcott,Gavin Alcott,2,Camera,,0.1545
1085780,Todd Barron,Todd Barron,2,Camera,,0.087
1439104,Onofrio Nino Pansini,Onofrio Nino Pansini,0,Camera,,0.3271
1427412,Adam Ward,Adam Ward,0,Camera,,0.0239
2132343,Justin Jeung,Justin Jeung,0,Camera,,0.0261
1552779,Bryan Delorenzo,Bryan Delorenzo,0,Camera,,0.132
1680535,Jeff Hall,Jeff Hall,2,Lighting,,0.1387
3543793,Susan Fernandez,Susan Fernandez,0,Camera,,
