company_id,company_name,logo_path,origin_country
1378,International Apollo Films,,IT
24282,CineFilms,,
1704,Bavaria Film,/sb3PuMTgJgpPUY7x634etBAhodu.png,DE
15730,Bavaria-Filmkunst,,DE
5522,CNT Production Company,,
6353,Screen Media Films,/7Fs0fMLWrPUaM3H0PK4hbnuEE1g.png,US
24269,Secret Identity Productions,,
5488,Fox Film Corporation,/3O2mAL8Z32SbKtQK7h9ePZjtzSu.png,US
10348,Republic Pictures,/oNeA4Uu1NrvxshFuHAyVso7JFD2.png,US
125558,PM Entertainment Group,/7ZDyxnaGb2YzJXJQYYJU8HmjlQx.png,US
79,Village Roadshow Pictures,/at4uYdwAAgNRKhZuuFX8ShKSybw.png,US
1694,Darren Star Productions,,US
3268,HBO,/tuomPhY2UtuPTqqFnKMVHvSb724.png,US
1569,Yash Raj Films,/lvzN86o3jrP44DIvn4SMBLOl9PF.png,IN
4300,Viba film,/hTb79FtutjvRRAKmIufvM4uczwm.png,SI
22289,Moonstone Entertainment,,US
22290,Bergman Lustig Productions,,
2997,Dragon Pictures,,
22291,Gallery Motion Pictures,,
22292,Keystone Studios,,US
10395,Crescent Entertainment,,CA
1124,P.A.C.,,FR
6389,Globe Films International,,IT
8136,MTV,/zHS0wY1haJ3GOvkHFOf8Dfjkyt3.png,US
174446,Emperor Classic Films,,
174447,Union Praise,,
35213,Schlicht und ergreifend Budweg und Schmid GbR,,
665,Hochschule für Fernsehen und Film München,/bUomMJoEX2W7XpgvNeWswCFKzrW.png,DE
6853,Kaijyu Theater,,JP
160520,Kyokuichi-Tokyo Movie,,JP
6378,Lo Wei Motion Picture Company,,HK
516,Seven Arts Productions,/ibZFDcpmcpY0emmO8mo1HCenlGk.png,US
260412,Steve Austin Productions,,
2636,Tag Entertainment,,
2634,Andertainment Group,,
3203,Blueshift Entertainment,,
7580,Kanbar Entertainment,/uY8QPBBp5RpZHXyFRgpSs1dvMvC.png,US
308,The Weinstein Company,/e8F3mQM7DkJ5SfYYDp8FYzPBOGX.png,US
82216,Hori Kikaku,,JP
15854,Dálmata Films S.A.,,
45957,Roger Gimbel Productions,,US
20260,EMI Television,,
113308,Ghettovision,,
16510,Filmways Television,,
83618,Three Stars 76,,
678,Turner Network Television,/AbIc38dGx4b8dhKS7oeRL6aXFDv.png,US
80112,Sohail Khan Production,,IN
5612,Brooksfilms,,US
9290,Capital Film,,IT
66044,Houston King Productions,,US
206876,Mutual Appreciation LLC,,US
5462,Aries Cinematográfica Argentina,,AR
23099,Sterling Pictures,,GB
137040,Han Productions,,FR
5588,C.E.I.A.P.,,IT
72998,Gorgon Video,/iwakXjT72sqyKc1xREQxqUNL62z.png,
1023,Nelvana,/dJLh6G11paw58YGYYpcRZiKvzGW.png,CA
7678,Astrid Lindgrens Värld,,SE
19413,Teletoon,/78EacZlixJJnlTrIlujvqRx7Wws.png,CA
7515,Van Beuren Studios,,US
10238,Les Films de la Butte,/jiJ2jBX8izOJz7Vp88YazkFiIaP.png,FR
197,Rommel Film,,DE
67475,Manny Films,/5A0604iOkdtb84pIEFs0gS2Bf4G.png,FR
128689,Sigma 3,,MA
76255,Lirica Inc.,,
1639,Les Films Jacques Leitienne,,FR
4269,Nuova Dania Cinematografica,,IT
15868,Medusa Distribuzione,,IT
32208,Imp.Ex.Ci.,,FR
5230,Serpent Films,,GB
2695,Archipel 33>35,,FR
1926,Les Films du Fleuve,/eSnbNBmDyok9rcpWxYRaBjTaq1n.png,BE
792,RTBF,/cRhBQP1FFNugNxKkO1pUgeD2Rkr.png,BE
8009,Belgacom,/jMXTbZ35gAiHCjIfdDq1B7On9fv.png,BE
29165,Rialto Film,/d1wokdgTjC7lJs6yktVd61JZrwD.png,DE
1282,Selig Polyscope Company,,US
1701,Dania Film,,IT
53,Les Films du Carrosse,/3cWJikm9MdWCMKdatuk8gDTa5xy.png,FR
64,Les Productions Artistes Associés,,FR
2348,Nickelodeon Movies,/m31fQvZJuUvAgxoqTiCGYFBfZYe.png,US
220299,Just One Productions,,
220287,Paramount Classics,/kSOgeDwqKdNNRQx5gk2yX2brLOx.png,US
91835,No Problem Cine,,
2562,Patagonik,/hQcSVwfXKkjXzD4oO9BmHKoyfkh.png,AR
202715,TJM,,
1735,Documento Film,,IT
1393,TBS,/lUACMATs6jcscXIrzNCQzbvNVN5.png,JP
3363,MBS,/sj3vD7n63bTCih7bcf6GnWvRf1Q.png,JP
5073,WOWOW FILMS,/eaLQAIIVIcHAWPOAAaj8J8Pt4W0.png,JP
5099,Altamira Pictures,/TN8pQL6oEqypiNvCqGop6wIGtg.png,JP
